"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","2018-02-15","8.50"," 1839","0.00","0.0","42","49","35","  220","  240","17.0","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-16","10.96"," 1936","0.02","0.0","49","54","34","  310","  310","25.1","33.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-17","11.63"," 1751","0.17","1.9","33","35","27","  180","  170","23.9","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-18","10.29"," 0931","0.35","3.7","36","44","32","  320","  300","21.0","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-19","12.53"," 1342","0.06","0.0","38","50","26","  200","  230","25.9","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-20","10.74"," 0032","0.01","0.0","55","70","42","  220","  220","21.9","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-21","14.32"," 1032","0.00","0.0","56","72","41","  230","  220","25.9","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-22","9.62"," 0343","0.08","0.5","46","55","32","  330","  340","21.9","25.9","    1",,,"    1",,,"    1",
"USW00014739","BOSTON, MA US","2018-02-23","9.17"," 1104","0.12","0.0","35","40","31","   90","  110","17.0","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-24","10.29"," 0131","0.00","0.0","45","55","37","  240","  250","19.9","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-25","14.32"," 1147","0.51","0.0","40","41","37","  110","  120","25.1","30.0","    1",,,"    1",,,,
"USW00014739","BOSTON, MA US","2018-02-26","10.51"," 2011","0.00","0.0","43","51","38","  270","  270","17.0","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-27","9.40"," 1350","0.00","0.0","44","53","36","  300","  280","19.9","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-02-28","12.08"," 1620","0.01","0.0","47","60","39","  200","  190","21.9","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-01","9.84",,"0.00","0.0","47","60","40","   50","   40","28.0","35.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-02","38.03",,"2.30","0.0","40","43","35","   30","   30","53.0","70.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-03-03","25.50",,"0.00","0.0","40","43","37","   20","   20","38.9","50.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-04","14.99",,"0.00","0.0","39","41","36","   20","   10","28.0","34.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-05","17.67",,"0.05","0.6","37","44","32","   20","   20","35.1","44.1","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2018-03-06","8.72",,"0.00","0.0","35","37","33","  360","  360","17.0","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-07","22.82",,"0.55","2.5","36","39","33","   20","   50","36.9","47.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-03-08","15.66",,"0.71","3.9","34","38","31","   10","   30","40.0","50.1","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2018-03-09","12.75",,"0.00","0.0","34","37","29","  260","  260","19.9","27.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-10","17.90",,"0.00","0.0","36","40","33","  280","  280","25.1","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-11","12.30",,"0.00","0.0","37","44","31","  280","  290","17.0","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-12","13.87",,"0.00","0.0","37","42","29","   60","   50","30.0","35.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-13","25.05",,"1.15","14.5","33","38","28","   10","  340","38.0","50.1","    1","    1",,,,,,"    1"
"USW00014739","BOSTON, MA US","2018-03-14","18.12",,"0.03","0.3","33","41","29","  230","  220","28.0","35.1","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2018-03-15","17.67",,"0.01","0.1","36","43","32","  260","  290","25.9","34.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-03-16","17.67",,"0.00","0.0","35","38","28","  310","  320","29.1","40.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-17","18.34",,"0.00","0.0","31","42","19","  300","  320","29.1","36.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-18","14.09",,"0.00","0.0","23","33","16","  290","  300","23.9","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-19","14.32",,"0.00","0.0","28","38","21","  300","  320","21.9","31.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-20","8.72",,"0.00","0.0","31","39","24","  320","  320","19.9","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-21","19.69",,"0.00","0.0","34","39","32","   40","   50","31.1","42.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-22","13.42",,"0.09","1.3","36","42","32","   30","   20","32.0","42.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-03-23","9.62",,"0.00","0.0","38","42","35","  330","  300","14.1","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-24","8.95",,"0.01","0.0","40","46","34","   70","   70","17.0","19.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-03-25","14.32",,"0.07","0.1","36","39","32","   30","  360","25.1","31.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-03-26","11.86",,"0.00","0.0","35","40","29","   30","   20","23.0","27.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-27","8.50",,"0.00","0.0","35","42","28","   80","   80","15.0","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-28","5.82",,"0.01","0.0","41","54","36","  150","  150","18.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-03-29","5.37",,"0.01","0.0","43","50","37","   80","   80","12.1","13.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-03-30","11.86",,"0.08","0.0","52","64","43","  330","  330","23.0","29.1","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2018-03-31","14.32",,"0.00","0.0","47","57","39","  190","  330","25.1","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-01","17.90",,"0.00","0.0","48","59","37","  270","  260","29.1","38.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-02","5.82",,"0.11","0.7","37","40","31","  310","  310","13.0","17.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-04-03","10.07",,"0.47","0.0","38","48","32","  110","  160","17.0","23.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-04-04","12.97",,"0.20","0.0","44","58","39","  260","  270","31.1","42.1","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2018-04-05","21.70",,"0.00","0.0","38","43","30","  270","  270","35.1","44.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-06","10.96",,"0.21","0.6","34","43","29","  180","  210","21.9","25.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-04-07","12.08",,"0.01","0.0","41","47","35","  290","  270","19.9","27.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-08","13.42",,"0.00","0.0","37","42","32","  320","  320","21.9","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-09","11.63",,"0.00","0.0","37","46","30","  330","  320","23.9","30.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-10","3.58",,"0.00","0.0","38","41","35","  190","  190","8.9","12.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-11","10.96",,"0.00","0.0","37","45","30","  110","  110","21.9","25.1","    1",,,,,,"    1",
