ID,Price,neighborhood,accommodates,Number of bathrooms,Number of Bedrooms,n beds,Review Scores Rating,Number of reviews,listing_url
1252489,207,Beacon Hill,2,NA,1,1,98,65,https://www.airbnb.com/rooms/1252489
1275498,147,South End,2,NA,NA,1,96,50,https://www.airbnb.com/rooms/1275498
1327725,120,Allston-Brighton,4,NA,2,2,94,273,https://www.airbnb.com/rooms/1327725
1340649,66,South Boston,1,NA,1,1,96,31,https://www.airbnb.com/rooms/1340649
1374434,65,Roxbury,1,NA,1,1,96,41,https://www.airbnb.com/rooms/1374434
1374466,67,Roxbury,1,NA,1,1,97,38,https://www.airbnb.com/rooms/1374466
1403408,70,Roxbury,1,NA,1,1,100,19,https://www.airbnb.com/rooms/1403408
1425973,350,South End,6,NA,3,4,94,25,https://www.airbnb.com/rooms/1425973
1445064,45,Charlestown,1,NA,1,1,94,105,https://www.airbnb.com/rooms/1445064
1454258,100,Dorchester,2,NA,1,1,98,311,https://www.airbnb.com/rooms/1454258
1510876,60,Dorchester,1,NA,1,1,98,45,https://www.airbnb.com/rooms/1510876
1544144,350,Charlestown,4,NA,2,3,99,14,https://www.airbnb.com/rooms/1544144
1545185,80,Allston-Brighton,4,NA,1,2,92,125,https://www.airbnb.com/rooms/1545185
1596664,49,Roxbury,1,NA,1,1,96,20,https://www.airbnb.com/rooms/1596664
1644031,96,South Boston,2,NA,1,1,96,260,https://www.airbnb.com/rooms/1644031
1668313,58,Roslindale,1,NA,1,1,96,37,https://www.airbnb.com/rooms/1668313
1692573,145,Jamaica Plain,4,NA,2,3,98,213,https://www.airbnb.com/rooms/1692573
1721016,112,Roslindale,3,NA,1,0,97,7,https://www.airbnb.com/rooms/1721016
1724900,113,Roslindale,5,NA,2,2,92,44,https://www.airbnb.com/rooms/1724900
1732804,45,Dorchester,2,NA,1,0,97,126,https://www.airbnb.com/rooms/1732804
1810172,69,Roslindale,2,NA,1,1,96,38,https://www.airbnb.com/rooms/1810172
1810397,890,South End,8,NA,3,4,99,42,https://www.airbnb.com/rooms/1810397
1815326,99,Allston-Brighton,2,NA,1,1,95,302,https://www.airbnb.com/rooms/1815326
1819994,265,Fenway/Kenmore,1,NA,1,1,80,2,https://www.airbnb.com/rooms/1819994
1821633,100,Dorchester,2,NA,1,1,99,211,https://www.airbnb.com/rooms/1821633
1863443,169,Cambridge,3,NA,1,2,83,6,https://www.airbnb.com/rooms/1863443
1881298,117,Jamaica Plain,4,NA,1,1,96,540,https://www.airbnb.com/rooms/1881298
1886037,239,Beacon Hill,4,NA,2,2,100,1,https://www.airbnb.com/rooms/1886037
1956275,599,Jamaica Plain,6,NA,3,3,88,105,https://www.airbnb.com/rooms/1956275
2000797,70,Dorchester,2,NA,1,1,93,143,https://www.airbnb.com/rooms/2000797
2014651,120,Jamaica Plain,2,NA,1,1,92,38,https://www.airbnb.com/rooms/2014651
2014882,67,Allston-Brighton,2,NA,1,2,93,224,https://www.airbnb.com/rooms/2014882
2021483,650,South Boston,6,NA,2,4,98,8,https://www.airbnb.com/rooms/2021483
2022303,264,South Boston,6,NA,2,3,96,199,https://www.airbnb.com/rooms/2022303
2108738,70,Back Bay,2,NA,NA,1,86,34,https://www.airbnb.com/rooms/2108738
2126053,145,Beacon Hill,2,NA,NA,1,97,106,https://www.airbnb.com/rooms/2126053
2141306,300,Downtown Crossing,6,NA,2,2,97,7,https://www.airbnb.com/rooms/2141306
2183058,195,North End,4,NA,1,1,98,169,https://www.airbnb.com/rooms/2183058
2183117,125,Allston-Brighton,3,NA,1,2,97,48,https://www.airbnb.com/rooms/2183117
2215762,148,South End,2,NA,1,1,98,31,https://www.airbnb.com/rooms/2215762
2219399,112,Jamaica Plain,2,NA,1,1,98,183,https://www.airbnb.com/rooms/2219399
2277821,439,Back Bay,5,NA,2,2,99,181,https://www.airbnb.com/rooms/2277821
2292495,75,South End,4,NA,1,1,95,71,https://www.airbnb.com/rooms/2292495
2372987,76,Roxbury,2,NA,1,1,87,88,https://www.airbnb.com/rooms/2372987
2378421,144,Jamaica Plain,2,NA,1,2,99,131,https://www.airbnb.com/rooms/2378421
2395326,119,South End,2,NA,1,1,97,409,https://www.airbnb.com/rooms/2395326
